;;;Matematyka Dyskretna;5;0
;;;Programowanie obiektowe;4;0
;;;Przedmiot humanistyczny;2;0
;;;Wychowanie fizyczne;0;0
;;Semestr 3;Algorytmy i struktury danych;5;0
;;;Analiza matematyczna III;7;0
;;;Język obcy;4;0
;;;Metody numeryczne I;4;0
;;;Równania różniczkowe zwyczajne;5;0
;;;Topologia;5;0
;;;Wychowanie fizyczne;0;0
;;Semestr 4;Algebra i jej zastosowania *;5;0
;;;Analiza zespolona I;7;0
;;;Fizyka I;2;0
;;;Język obcy;4;0
;;;Krótki kurs historii matematyki;2;0
;;;Rachunek prawdopodobieństwa *;5;0
;;;Równania różniczkowe cząstkowe *;5;0
;;;Wychowanie fizyczne;0;0
;;;PRAKTYKI (poza limitem punktów);3;0
;;Semestr 5;Analiza funkcjonalna;5;0
;;;Fizyka II;5;0
;;;Język obcy;2;0
;;;Optymalizacja liniowa;4;0
;;;Procesy stochastyczne;4;0
;;;Przedmiot obieralny I;4;0
;;;Przedmiot obieralny kontynuowany *;5;0
;;Semestr 6;Modelowanie matematyczne;4;0
;;;Seminarium dyplomowe;2;0
;;;Statystyka matematyczna 1;5;0
Wydział Matematyki i Nauk Informacyjnych;Informatyka;Semestr 1;Algebra liniowa z geometrią;5;0
;;;Analiza matematyczna 1;6;0
;;;Elementy logiki i teorii mnogości;5;0
;;;Podstawy elektroniki;4;0
;;;Podstawy systemu UNIX;2;0
;;;Programowanie 1 - strukturalne;6;0
;;;Przedmiot humanistyczny;2;0
;;Semestr 2;Analiza matematyczna 2;6;0
;;;Elementy konstrukcji sprzętu cyfrowego;4;0
;;;Język obcy;4;0
;;;Matematyka Dyskretna 1;4;0
;;;Metody Numeryczne 1;5;0
;;;Programowanie 2 - obiektowe;5;0
;;;Techniki prezentacji;2;0
;;;Wychowanie fizyczne;0;0
;;Semestr 3;Algorytmy i struktury danych 1;5;0
;;;Język obcy;4;0
;;;Matematyka dyskretna 2;4;0
;;;Metody numeryczne 2;4;0
;;;Programowanie 3 - zaawansowane;4;0
;;;Równania różniczkowe;4;0
;;;Systemy operacyjne 1;2;0
;;;Transmisja danych;3;0
;;;Wychowanie fizyczne;0;0
;;Semestr 4;Algorytmy i struktury danych 2;4;0
;;;Bazy danych;4;0
;;;Język obcy;4;0
;;;Programowanie w środowisku graficznym;4;0
;;;Projektowanie obiektowe;4;0
;;;Przedmiot humanistyczny;2;0
;;;Sieci komputerowe (blok obieralny 1);4;0
;;;Systemy operacyjne 2;4;0
;;;Wychowanie fizyczne;0;0
;;Semestr 5;Fizyka 1;4;0
;;;Grafika komputerowa 1;4;0
;;;Inżynieria oprogramowania 1;4;0
;;;Język obcy;2;0
;;;Programowanie aplikacji wielowarstwowych (blok obieralny 2);4;0
;;;Rachunek prawdopodobieństwa i elementy statystyki matematycznej;4;0
;;;Teoria automatów i języków formalnych;4;0
;;Semestr 6;Fizyka 2;4;0
;;;Inżynieria oprogramowania 2;5;0
;;;Metody translacji;5;0
;;;Projekt indywidualny;4;0
;;;Systemy wbudowane (blok obieralny 3);12;0
;;;UNIX;3;0
;;Semestr 7;Metody sztucznej inteligencji;4;0
;;;Metody translacji;5;0
;;;Projekt zespołowy;4;0
;;;Przygotowanie pracy dyplomowej / projektu dyplomowego;12;0
;;;Seminarium dyplomowe;3;0
;;;Teoria algorytmów i obliczeń;7;0
